id,short_name
181,"Abóbora, moranga, s/ casca, cozida, c/"
183,"Abóbora, moranga, s/ casca, s/ semente"
185,"Abóbora, moranga, s/ casca, s/ semente"
186,"Abóbora, moranga, s/ casca, s/ semente"
187,"Abóbora, moranga, s/ casca, s/ semente"
188,"Abóbora, moranga, s/ casca, s/"
190,"Abóbora, pescoço, s/ casca, s/ semente"
191,"Abóbora, pescoço, s/ casca, s/ semente"
192,"Abóbora, pescoço, s/ casca, s/"
193,"Abóbora, s/ casca, s/ sementes, crua"
196,"Abobrinha, italiana, c/ casca, à"
198,"Abobrinha, italiana, c/ casca, cozida"
199,"Abobrinha, italiana, c/ casca, cozida"
200,"Abobrinha, italiana, c/ casca, cozida"
203,"Abobrinha, italiana, c/ casca"
205,"Abobrinha, italiana, c/ casca, refogada"
218,"Acelga, refogada, , s/ sal"
233,"Agrião, cozido, drenado, c/ óleo de"
238,"Aipo , cozido, drenado, s/ óleo, s/ sal"
241,"Aipo , refogado , s/ sal"
243,"Alcachofra, cozida, drenada, s/ sal"
258,"Almeirão, cozido, drenado, s/ óleo, s/"
261,"Almeirão, refogado , s/ sal, Cichorium"
265,"Almôndega, carne, boi, industrializada"
289,"Arroz à grega, c/ arroz polido, c/ sal"
290,"Arroz à grega, c/ arroz polido, s/ sal"
295,"Arroz caipira, c/ arroz polido, s/ sal"
296,"Arroz carreteiro, c/ sal"
297,"Arroz carreteiro, s/ sal, dessalgado"
298,"Arroz chop suey, c/ arroz integral, c/"
299,"Arroz chop suey, c/ arroz integral, s/"
300,"Arroz chop suey, c/ arroz polido, c/"
301,"Arroz chop suey, c/ arroz polido, s/ sal"
302,"Arroz com abobrinha, c/ óleo, cebola e"
303,"Arroz com abobrinha, c/ óleo, cebola e"
304,"Arroz com alho poró, c/ arroz integral"
305,"Arroz com alho poró, c/ arroz polido"
306,"Arroz com alho poró, c/ arroz polido"
307,"Arroz com brócolis, c/ arroz integral"
308,"Arroz com brócolis, c/ arroz integral"
309,"Arroz com brócolis, c/ arroz polido, c/"
310,"Arroz com brócolis, c/ arroz polido, s/"
311,"Arroz com carne bovina, c/ arroz"
312,"Arroz com carne bovina, c/ arroz"
313,"Arroz com cenoura, c/ óleo, cebola e"
314,"Arroz com cenoura, c/ óleo, cebola e"
315,"Arroz com coco, c/ arroz polido, c/ sal"
316,"Arroz com coco, c/ arroz polido, s/ sal"
317,"Arroz com couve, c/ arroz integral, c/"
318,"Arroz com couve, c/ arroz integral, s/"
319,"Arroz com couve, c/ arroz polido, c/ sal"
320,"Arroz com couve, c/ arroz polido, s/ sal"
321,"Arroz com espinafre, c/ arroz integral"
322,"Arroz com espinafre, c/ arroz integral"
323,"Arroz com espinafre, c/ arroz polido"
324,"Arroz com espinafre, c/ arroz polido"
325,"Arroz com frango e pequi, c/ arroz"
326,"Arroz com frango e pequi, c/ arroz"
327,"Arroz com frango e pequi, c/ arroz"
328,"Arroz com frango e pequi, c/ arroz"
329,"Arroz com frango, c/ arroz integral, c/"
330,"Arroz com frango, c/ arroz integral, s/"
331,"Arroz com frango, c/ arroz polido, c/"
332,"Arroz com frango, c/ arroz polido, s/"
333,"Arroz com frutos do mar, c/ arroz"
334,"Arroz com frutos do mar, c/ arroz"
335,"Arroz com frutos do mar, c/ arroz"
336,"Arroz com frutos do mar, c/ arroz"
