food,kcal,protein,carbs,fat,serving_size
McDonald’s - Hamburger,250.0,0.0,0.0,0.0,1 unidade
McDonald’s - Cheeseburger,300.0,0.0,0.0,0.0,1 unidade
McDonald’s - Double Cheeseburger,440.0,0.0,0.0,0.0,1 unidade
McDonald’s - McDouble,390.0,0.0,0.0,0.0,1 unidade
McDonald’s - Quarter Pounder® with Cheese,510.0,0.0,0.0,0.0,1 unidade
McDonald’s - Double Quarter Pounder® with Cheese,740.0,0.0,0.0,0.0,1 unidade
McDonald’s - Big Mac®,540.0,0.0,0.0,0.0,1 unidade
McDonald’s - Big N’ Tasty®,460.0,0.0,0.0,0.0,1 unidade
McDonald’s - Big N’ Tasty® with Cheese,510.0,0.0,0.0,0.0,1 unidade
McDonald’s - Angus Bacon & Cheese,790.0,0.0,0.0,0.0,1 unidade
McDonald’s - Angus Deluxe,750.0,0.0,0.0,0.0,1 unidade
McDonald’s - Angus Mushroom & Swiss,770.0,0.0,0.0,0.0,1 unidade
McDonald’s - Filet-O-Fish®,380.0,0.0,0.0,0.0,1 unidade
McDonald’s - McChicken ®,360.0,0.0,0.0,0.0,1 unidade
McDonald’s - McRib ®,500.0,0.0,0.0,0.0,1 unidade
McDonald’s - Premium Grilled Chicken Classic Sandwich,360.0,0.0,0.0,0.0,1 unidade
McDonald’s - Premium Crispy Chicken Classic Sandwich,510.0,0.0,0.0,0.0,1 unidade
McDonald’s - Premium Grilled Chicken Club Sandwich,460.0,0.0,0.0,0.0,1 unidade
McDonald’s - Premium Crispy Chicken Club Sandwich,620.0,0.0,0.0,0.0,1 unidade
McDonald’s - Premium Grilled Chicken Ranch BLT Sandwich,380.0,0.0,0.0,0.0,1 unidade
McDonald’s - Premium Crispy Chicken Ranch BLT Sandwich,540.0,0.0,0.0,0.0,1 unidade
McDonald’s - Southern Style Crispy Chicken Sandwich,400.0,0.0,0.0,0.0,1 unidade
McDonald’s - Ranch Snack Wrap® (Crispy),340.0,0.0,0.0,0.0,1 unidade
McDonald’s - Ranch Snack Wrap® (Grilled),270.0,0.0,0.0,0.0,1 unidade
